name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
vAsanti,,27,,,"S,R2,G3,P,D1,Ṡ","Ṡ,D1,P,G3,R2,S",
vasukari,,56,,,"S,G2,M2,P,D1,N2,Ṡ","Ṡ,N2,D1,M2,G2,S",
vAtI Vasantabhairavi,,14,,,"S,R1,G3,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G3,R1,S",
vedhAndhagamana,,29,,,"S,G3,M1,P,N3,Ṡ","Ṡ,N3,P,M1,G3,S",
vedhasvarUpi,,52,,,"S,R1,G3,M2,P,D2,N3,P,Ṡ","Ṡ,N3,D2,P,N3,P,M2,G3,S",
vegavAhini,,16,,,"S,R1,G3,M1,D2,N2,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R1,S",
velAvali,,23,,,"S,G2,M1,D2,N3,S","S,N3,D2,P,M1,G2,R2,S",
velAvali,,23,,,"S,G2,R2,M1,P,D2,S","S,N3,D2,P,M1,G2,R2,S",
velAvali,,23,,,"S,R2,G2,M1,P,D2,S","S,N3,D2,P,M1,G2,S",
velAvali,,23,,,"S,R2,G2,S,R2,M1,P,D2,S","S,N3,D2,P,M1,G2,R2,S",
velAvali,,23,,,"S,R2,M1,P,D2,N3,S","S,N3,D2,P,M1,G2,R2,S",
velAvali,,23,,,"S,R2,M1,P,D2,S","S,N3,D2,P,M1,G2,R2,S",
vijayabhUshAvali,,43,,,"S,R1,G3,M2,P,Ṡ","Ṡ,N3,D3,P,M2,G3,R1,S",
vijayakoSalam,,66,,,"S,R2,G3,M2,P,Ṡ","Ṡ,N3,P,M2,G3,S",
vijayamAlavi,,55,,,"S,R2,M2,P,D1,Ṡ","Ṡ,N1,D1,P,M2,R2,S",
vijayanAgari,,59,,,"S,R2,G2,M2,P,D2,Ṡ","Ṡ,D2,P,M2,G2,R2,S",
vijayasAranga,,57,,,"S,R2,G2,M2,P,D2,Ṡ","Ṡ,N2,D2,M2,G2,R2,S",
vijayasarasvati,,57,,,"S,G2,M2,P,D1,N3,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
vijayashrAngi,,57,,,"S,R2,G2,M2,P,D2,Ṡ","Ṡ,N2,D2,M2,G2,R2,S",
vijayasri,,47,,,"S,R1,G2,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G2,R1,S",
vijayavasantam,,54,,,"S,M2,P,D3,N3,Ṡ","Ṡ,N3,P,M2,G3,S",
vijayollAsini,,14,,,"S,R1,G3,M1,P,M1,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R1,S",
vikhavati,,34,,,"S,R3,G3,P,D2,Ṡ","Ṡ,D2,P,G3,R3,S",
vilAsini,,29,,,"S,R2,G3,M1,P,N3,Ṡ","Ṡ,N3,P,M1,G3,R2,S",
vINAdhAri,,16,,,"S,R1,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R1,S",
vINavadini,,28,,,"S,R2,G3,P,N2,Ṡ","Ṡ,N2,P,G3,R2,S",
vIrapratApa,,29,,,"S,G3,M1,P,D2,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",
vIravasantam,,24,,,"S,R2,G2,M1,P,Ṡ","Ṡ,N3,D3,P,M1,G2,R2,S",
vishArada,,15,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,P,M1,R1,S",
visvambhari,54,NULL,Brahma,,"S,R1,G3,M2,P,D2,N2,S","S,N2,D2,P,M2,G3,R1,S",
viSveSvarapriya,,59,,,"S,R2,M2,P,N3,Ṡ","Ṡ,N3,D2,P,M2,R2,S",
viTThalapriya,,4,,,"S,R1,M1,P,D2,Ṡ","Ṡ,D2,P,M1,R1,S",
vivAhapriya,,65,,,"S,R2,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M2,R2,S",
vivardhani,,28,,,"S,R2,M1,P,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
yadukula kAmbhOji,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
yAgapriya,31,NULL,Rutu,,"S,R3,G3,M1,P,D1,N3,S","S,N3,D1,P,M1,G3,R3,S",
